id,question,A,B,C,D,answer
760,আণবিক পাল্লার মান কত?,10−7 m,10−11 m,10−5 m,10−10 m,D
761,15 সে.মি. ফোকাস দূরত্ব বিশিষ্ট একটি উত্তল লেন্স থেকে 25 সে.মি. দুরে,37.5 সে.মি,36.5 সে.মি,37 সে. মি,38.5 সে.মি,A
762,3 kg ভরের একটি বস্তু 6mদৈর্ঘ্য ও sin−1(2/3) কোণে আনত তলের উপর থেকে নিচে পড়ছে। ঘর্ষণ বল 16N হলে সর্বশেষ বেগ কত? [g=10ms−2],5ms-1,4ms-1,3ms-1,2ms-1,B
763,কোন গোলীয় তলের বক্রতার ব্যাসার্ধ নির্নয় করার জন্য কোন সমীকরনটি ব্যবহৃত হয় ?,`R=d/h+h/2`,`R=d^2/2+h/2`,`R=d^2/(6h)+h/2`,`R= d^2/12+h^2/d`,C
764,চার্লসের সূত্রের ক্ষেত্রে কোনটি সঠিক?,P ∝ 1/V,P ∝ V,V ∝ T,V ∝ n,C
765,অভিকর্ষজ ত্বরণ g সম্পর্কে সঠিক নয় কোনটি? ,ওপরে কমে ,কেন্দ্রে সর্বোচ্চ ,মেরুতে 9.83ms -2,নীচে কমে ,B
766,একটি শক্তিশালী চৌম্বকক্ষেত্র দুটি চৌম্বক পদার্থ স্থাপন করায় উভয় ক্ষেত্রে অল্প পরিমাণ চুম্বকত্ব আবিষ্ট হয় কিন্তু প্রথম ক্ষেত্রে চুম্বকন মাত্রার দিক প্রযুক্ত চৌম্বকক্ষেত্রের দিকে এবং ২য় ক্ষেত্রে বিপরীত দিকে হয়। বস্তু দুটি হতে পারে -,ডায়াচৌম্বক ও ফেরোচৌম্বক,ডায়াচৌম্বক ও প্যারাচৌম্বক,প্যারাচৌম্বক ও ডায়াচৌম্বক,ফেরোচৌম্বক ও ডায়াচৌম্বক,C
767,যদি 2 ক্যালরি তাপ সমপূর্ণভাবে কাজে রূপান্তরিত হয় তবে কাজের পরিমাণ কত?,4.2 J,4.8 J,8.2 J,8.4 J,D
768,ভূ-পৃষ্ঠ হতে 600 km উচ্চতায় একটি কৃত্রিম উপগ্রহের বেগ কত?,6.42 kms−1,8.68 kms−1,7.56 kms−1,9.11 kms−1,C
769,নিচের কোনটি মহাকর্ষীয় ধ্রুবকের একক নির্দেশ করে?,Nm2kg-2,m³kg-1s-1,m²kg-2s-1,Nm-1s-1,A
770,→A=3ˆi+2ˆj−6ˆkA→=3i^+2j^-6k^ ভেক্টর রাশিটির মান কত?,9,7,49,√7,B
771,দুটি কৈশিক নলের মধ্য একটি অপরটির থেকে সরু। দুটোকেই খারাপ ভাবে পানির মধ্যে আংশিক ডুবানো হলে বেশি সরুটির ভিতরে পানির স্তম্ভের উচ্চতা বেশি হয়। এর কারণ-,সরু নলের বায়ুর চাপ কমে যায়,সরু নলের পানির ঘনত্ব কমে যায়,পানের পৃষ্ঠটান নলের ব্যাসার্ধের বর্গের উপর নির্ভরশীল কিন্তু পানির স্তম্ভের ওজন ব্যাসের উপর নির্ভরশীল,এখানে পানির পৃষ্ঠটান নলের ব্যাসের উপর নির্ভরশীল কিন্তু পানির স্তম্ভের ব্যাসের বর্গের উপর নির্ভরশীল,D
772,একটি বৈদ্যুতিক ইস্ত্রিতে 220 ভোল্ট এবং 1000W লিখা আছে। ইহার রোধ হবে-,44.8 ohm,60 ohm,40 ohm,48.4 ohm,D
773,ইয়ং-এর দ্বি-চির পরীক্ষায় চিরগুলোর দূরত্ব অর্ধেক এবং চির ও পর্দার দূরত্ব দ্বিগুণ করা হলে ডোরা প্রস্থের কী হবে ?,দ্বিগুণ হবে,অর্ধেক হবে,চারগুণ হবে,কোনোটিই নয়,C
774,একটি কণা 45° প্রক্ষেপণ কোণে u বেগে নিক্ষিপ্ত করা হল। তাহলে আনুভূমিক পাল্লা সর্বোচ্চ উচ্চতার কত গুণ হবে?,দুই গুণ,তিনগুণ,চারগুণ,পাঁচগুণ,C
775,দুইটি সুৱশলাকার কম্পাংক যথাক্রমে 128 Hz ও 384 Hz। বায়ুতে শলাকা দুইটি হতে সৃষ্ট তরঙ্গ দৈর্ঘ্যের অনুপাত কত?,3:01,1:03,2:01,1:02,A
776,সমান ভরের দুটি উপগ্রহের ব্যাসার্ধ যথাক্রমে R এবং 4R হলে গ্রহ দুটির পর্যায় কালের অনুপাতঃ,1:16,1:08,0.086111111,16:01,B
777,100 সেন্টিমিটার দৈর্ঘ্যের একটি স্প্রিং 20 সেন্টিমিটার প্রসারিত হয় যখন 20 গ্রাম ভরের একটি বস্তু ঝুলানো হয়। যদি বস্তুটিকে টেনে ছেড়ে দেয়া হয় তাহলে স্প্রিংটি 0.5 সেকেন্ডের সময়কালে দোলতে থাকে। দোলনের রৈখিক বেগ নির্ণয় কর।,15m/s,2.5m/,0.1 m/s,0.4m/s,A
778,কণার ভর বৃদ্ধিতে তরঙ্গদৈর্ঘ্য –,বাড়বে,কমবে,একই থাকবে,‘0’ হবে,B
779,যদি চাঁদ পৃথিবীর কেন্দ্র হতে 384400 km গড় দূরত্বে পৃথিবীর চারদিকে পরিভ্রমণ করে তাহলে চাঁদের পরিভ্রমণ গতি হবে (পৃথিবীর ভর 6 × 1024 kg) –,1.02 × 102m/s,102× 103 m/s,1.0× 103 m/s,1.04× 106 m/s,C
780,কোনাে গতিশীল বস্তুর ত্বরণের মান,`sin (2pit)`,`-sin (2pit)`,`cos(2pit)`,`-cos (2pit)`,A
781,1 কিলোওয়াট ঘণ্টা সমান—,1000 J,3600 J,6000 J,3.6 × 106 J,D
782,নিম্নের উক্তিগুলোর মধ্যে কোনটি ভুল?,1N = 1Kg.m/s2,1J = 1 N/m,1V = 1 J/C,30 mA =0.03A,B
783,ট্রিটিয়ামের অর্ধায়ু 12.5 বছর। 25 বছর পর 1 kg ট্রিটিয়াম কত গ্রাম হবে?,0.5 gm,0.75 gm,0.25 gm,0.125 gm,C
784,স্থির অবস্থান হতে সম-ত্বরণে চলমান বস্তুর অতিক্রান্ত দূরত্ব সময়ের সাথে কীভাবে সম্পর্কিত?,সমানুপাতিক,বর্গের সমানুপাতিক,বর্গমূলের সমানুপাতিক,ব্যস্তানুপাতিক,B
785,তড়িৎ বল সঞ্চালনের মধ্যস্থতার ভূমিকা পালন করে কে?,তড়িৎ আধান,বিন্দু চার্জ,ভেদনযোগ্যতা,তড়িৎ ক্ষেত্র,D
786,একটি তারের মধ্য দিয়ে 45 মিনিটে 0.5 mol ইলেকট্রন প্রবাহিত করা হলো। তারের মধ্য দিয়ে মোট কী পরিমাণ চার্জ প্রবাহিত হবে?,3.011×1023 C,48176 C,1070.58 C,17.84 C,B
787,একটি মোটরগাড়ীর হেড লাইটের ফিলামেন্ট 5A তড়িৎ প্রবাহ বহন করে। প্রান্তদ্বয়ের বিভব পার্থক্য 6V হলে ফিলামেন্টের রোধ কত?,2.1 ohm,1.25 ohm,1.2 ohm,1.0 ohm,C
788,"<সমুদ্রে নোঙর করা একটি জাহাজের ক্যাপ্টেন লক্ষ্য করেন যে,ঢেউয়ের শীর্ষগুলো পরস্পর থেকে 16 m দূরে এবং প্রতি 2 s পরপর একটি ঢেউ আসছে, ঢেউগুলোর বেগ কত ?",8ms-1,16ms-1,32ms-1,64ms-1,A
789,দুই ঘণ্টা পর কোন তেজক্রিয় বস্তুর প্রাথমিক পরিমাণের অক্ষত থাকে। উক্ত ভেজক্রিয় বস্তুর অর্ধায়ু হল-,15 min,30 min,60 min,45min,B
790,একজন লোক একটি 10 কেজি ভরকে 20 সেকেন্ড সময়ে 10 মি. উপরে তুলতে পারে এবং অপরজন 20 কেজি ভরকে 10 সেকেন্ড সময়ে 20 মি. উপরে তুলতে পারে। প্রথম জনের সাপেক্ষে দ্বিতীয় কনের কাজ করার ক্ষমতার অনুপাত হবে-,4,4-Jan,8,8-Jan,D
791,পর্যবেক্ষকের কারণে পাঠে যে ত্রুটি আসে তাকে বলা হয়-,দৈব ত্রুটি,শূন্য ত্রুটি,যান্ত্রিক ত্রুটি,লম্বন ত্রুটি,D
