id,question,A,B,C,D,topic,question_type
845,If →A=ˆiA→=i^ and →B=ˆj+ˆkB→=j^+k^; what is the angle between →AA→ and →BB→?,0°,45°,90°,180°,Vectors,Mathematical
846,If an object breaks under the action of a certain minimum load; that load is called-,Ductile object,Breaking load,Rigid body,Elastic limit,Properties of Matter,Definition
847,What will be the resistance of a wire that has the same length as a wire of 18? resistance; but 3 times the diameter and twice the specific resistance?,4Ω,81Ω,2Ω,12Ω,Current Electricity,Mathematical
848,If the scalar product of two vectors is 18 and the vector product is 6√3 units; what is the angle between the vectors?,20°,25°,30°,35°,Vectors,Mathematical
849,When an object of mass m is hung from one end of a spring; it extends by 10 cm. If the object is pulled slightly and released; what will be its period of oscillation? [g=10 msâˆ’2],0.314s,0.628s,1.6s,1.2s,Oscillations,Mathematical
850,Which light is always used for danger signals?,White,Red,Green,Blue,Wave Optics,Application
851,The mass of an object is 100 gm in air and 84 gm in alcohol; If the density of alcohol is 0.8 gm/cc; what is the volume of the object?,8 cc,10 cc,20 cc,8.4 cc,Fluid Mechanics,Mathematical
852,The resultant of two forces is 40N; The smaller of the two forces is 30N and it acts perpendicular to the resultant force; What is the magnitude of the larger force?,40N,45N,50N,60N,Vectors,Mathematical
853,What is the unit for measuring the intensity of sound?,dB,DB,Wm-2,Wm-1,Waves,Definition
854,If two vectors of magnitude 10N and 6N act at an angle of 60° at a single point at the same time; what will be the magnitude of the resultant of the two vectors?,13 N,24 N,14 N,34 N,Vectors,Mathematical
855,The permittivity of free space ϵo=?,8.85×10−12coul2N−1m−2,8.85×1012coul2N−1m−2,4π×107NA−2,8π×10−7NA−2,Electrostatics,Definition
856,In a meter bridge; 8Ω is connected in the left gap and 10 Ω in the right gap; At what distance from the left end will the balance point be found?,22.22cm,44.44cm,11.11cm,66.66cm,Current Electricity,Mathematical
857,Ampere's law -,determines electric current,determines the relationship between electric current and magnetic field,explains electromagnetic induction,law of conductivity,Magnetism,Definition
858,The unit of εoµo is equal to which of the following?,(velocity)2,(velocity),1/(velocity),1/(velocity)2,Electromagnetic Waves,Theoretical
859,Diffraction of light occurs due to which of the following?,Reflection,Interference,Polarization,Refraction,Wave Optics,Theoretical
860,"Which magazine gave Bangabandhu Sheikh Mujibur Rahman the title ""Poet of politics""?",The Times,The Hindu,The Chicago Post,The Newsweek,Miscellaneous,Miscellaneous
861,In a uniform electric field; the potential difference between two points 50 cm apart is 200 V; what is the intensity of the electric field?,900 Vm?1,400Vm?1,200 Vm?1,600Vm?1,Electrostatics,Mathematical
862,For which of the following is the temperature coefficient of resistance; α; positive?,Silicon,Aluminium,Carbon,Thermistor,Current Electricity,Theoretical
863,Using a simple pendulum; the value of g at a certain place was found to be 10ms-2; If the actual value of g at that place is 9.81 ms-2; what is the percentage error of the measurement?,19.36%,19%,1.93%,0.19%,Experimental Physics,Mathematical
864,The amplitude of a particle oscillating at a frequency of 5Hz is 45cm; What is its velocity when the particle's displacement is 15cm?,14.67 ms?1,13.33 ms?1,6.66 ms?1,15.34 ms?1,Oscillations,Mathematical
865,What is the inverse quantity of the bulk modulus?,Poisson's ratio,Compressibility,Young's modulus,Rigidity modulus,Properties of Matter,Definition
866,If an object is thrown vertically upwards with a velocity of 9.8 m/s; what is the maximum height it will reach?,9.8 m,2.5 m,4.9 m,3.9 m,Kinematics,Mathematical
867,The value of gravitational intensity on the Earth's surface is g; If the density of a hypothetical planet is equal to the density of the Earth and its radius is double; what would be the value of gravitational intensity on the surface of that planet?,g,8g,3g,2g,Gravitation,Mathematical
868,The spherical hollow bob of a simple pendulum is filled with water; If water starts leaking out drop by drop while it is oscillating; the time period will-,continuously decrease,remain the same,"first increase,  then decrease",continuously increase,Oscillations,Reasoning
869,Where is the National Institute of Oceanography located?,Dhaka,Chattogram,Sandwip,Cox's Bazar,Miscellaneous,Miscellaneous
870,Which of the following can produce polarized light?,Nicol prism,A crystal,A biprism,A half-wave plate,Wave Optics,Theoretical
871,The anti-particle of an electron is -,Positron,Neutron,Proton,Antiproton,Modern Physics,Definition
872,What is the total charge of a hydrogen atom?,1.6×10-19C,0 C,3.2×10-19 C,None of these,Atomic Physics,Theoretical
873,Which is an example of a scalar product?,Work,Torque,Force,Angular momentum,Vectors,Application
874,Which is the expression for centripetal force?,mv2r,mv2/r,mv2r2,mÏ‰2/r,Rotational Motion,Definition
875,The voltage of the primary coil of a transformer is 10V and the current is 4A; if the voltage of the secondary coil is 8V; what is the amount of current in it?,5A,8A,10A,4A,Alternating Current,Mathematical
876,A steradian angle is-,one-dimensional,two-dimensional,three-dimensional,has no dimension,Units and Dimensions,Definition
877,The distance between two consecutive nodes of a stationary wave is 1 m; What is its wavelength?,200 cm,25 cm,100 cm,50 cm,Waves,Mathematical
878,What is the other name for Kirchhoff's 2nd law?,Voltage law,Loop law,Circuit law,Current law,Current Electricity,Definition
879,What is the efficiency of a reversible heat engine operating between temperatures of 627°C and 927°C?,5.40%,12%,19.80%,25%,Thermodynamics,Mathematical
880,The voltage of the primary coil of an ideal transformer is 15V and the current is 3A; If the voltage of the secondary coil is 25V; find the current in the secondary coil.,5A,15A,3A,1.8A,Alternating Current,Mathematical
881,What is the ratio of the interval of a perfect fifth?,3:02,5:03,8:05,3:01,Waves,Definition
882,A flower vase fell from a second-floor window; At what velocity will it strike the ground 3 m below?,9.7 m/s,9.1 m/s,7.7 m/s,8.7 m/s,Kinematics,Mathematical
883,Which principle is used to operate a modern jet aircraft?,Law of conservation of momentum,Newton's first law of motion,Law of gravitation,None of these,Laws of Motion,Application
884,What is the wavelength in nm of a photon with an energy of 6.63×10-19J?,300,600,800,900,Modern Physics,Mathematical
885,A metal object of mass 6g is tied to one end of a 3m long string and rotated 4 times per second; What is its angular momentum?,1.356 kgm-2s-1,1.4x104 kgm-2s-1,0.6kgm-2s-1,4kgm-2s-1,Rotational Motion,Mathematical
886,A wooden box of 400 N placed on a floor is on the verge of moving when a horizontal force of 160 N is applied to it; The coefficient of friction between the floor and the wooden box will be-,4,0.4,1.6,0.16,Laws of Motion,Mathematical
887,The number of turns in the primary coil of a transformer is 50 and the voltage is 200V; If the number of turns in its secondary coil is 100; what is the voltage?,200 V,300 V,400 V,450 V,Alternating Current,Mathematical
888,A simple pendulum has length L; mass M; and frequency f; To make its frequency 2f; what should be done?,The length must be changed to 4L,The length must be changed to 2L,The length must be changed to L/2,The length must be changed to L/4,Oscillations,Reasoning
889,The decay constant of a radioactive substance is 0.00385s-1 ; what is its half-life?,1.5 min,3 min,5min,7 min,Nuclear Physics,Mathematical
890,What is the name for a frame of reference in which Newton's laws of motion are valid and which moves at a constant velocity relative to other such frames?,Galilean frame of reference,Newtonian frame of reference,Inertial frame of reference,All are correct,Laws of Motion,Definition
891,If the longitudinal strain of a wire is 0.02 and the lateral strain is 0.002; what is its Poisson's ratio?,0.004,0.1,10,0.0004,Properties of Matter,Mathematical
892,For an object of a given mass; what is the relationship of its kinetic energy with its momentum?,Proportional to the square,Proportional to the square root,Inversely proportional to the square,Proportional,Work and Energy,Theoretical
893,Three capacitors of 2; 3; and 6μF are connected in series with a 10V source; The amount of charge on the 3μF capacitor is:,5μC,10 μC,12 μC,15 μC,Electrostatics,Mathematical
894,"A particle of mass m and velocity v strikes a horizontal surface at an angle ?. Find the horizontal and vertical components of velocity after impact using kinematics, momentum, and impulse;","v cosθ, v sinθ","v sinθ, v cosθ","v, 0","0, v",Laws of Motion,Theoretical
895,Which property of light is revealed by the photoelectric effect?,Wave,Particle,Wave and particle,None of these,Modern Physics,Theoretical
896,"The displacement of two particles oscillating in simple harmonic motion is x1 = A sin(ωt) and x2 = A sin(ωt + φ); if φ = π/2, what is the phase difference between the two particles?",2π,π,π/2,π/4,Oscillations,Theoretical
897,The velocity of an artificial satellite orbiting the Earth at a height h from the surface is-,v=GMR+hv=GMR+h,v=GM(R+h)2v=GM(R+h)2,v=GM2R+h,`v=sqrt((GM)/(R+h))`,Gravitation,Definition
898,The particles that participate in electromagnetic interactions are -,Graviton,Lepton,Photon,Hadron,Modern Physics,Theoretical
899,A piece of ice at 0°C with a piece of cork embedded in it is floating in ice-water; If the ice melts; the water level will:,increase,decrease,remain the same,depend on the initial ratio of water and ice,Fluid Mechanics,Reasoning
900,The half-life of a radioactive element is 10 days; How long will it take for the element to decay completely?,10 days,20 days,40 days,Infinite time,Nuclear Physics,Reasoning
901,The vectors <`vecP=2hati-3hatj-hatk` and `vecQ=2hati-hatj-3hatk` are coplanar; What will be the value of the scalar product of vectors `vecP` and `vecQ`?,√96,16,√80,10,Vectors,Mathematical
902,A ray of light in glass is incident on the glass-water interface; If the angle of incidence is 50°; what will be the angle of refraction?,75.5 °,51.2 °,69.3 °,59.8 °,Ray Optics,Mathematical
903,An object is moving along a straight line according to the formula S=1/2 t3+2t; what is the velocity of the object after 4s?,46 unit,34 unit,28 unit,26 unit,Kinematics,Mathematical
904,A wire has a length of 0.50m; and the tension is equal to the weight of 3kg. What is the frequency of the wire? (The mass per meter length of the wire is 5g.),70.71Hz,76.68Hz,78.6Hz,80.2Hz,Waves,Mathematical
905,Which of the following is the value of electric permittivity in a vacuum?,`9xx10^9C^2N^-1m^-2`,`8.854xx10^-12C^2N^-1m^-2`,`10^-7C^2N^-1m^-2`,`4pixx10^-7C^2N^-1m^-2`,Electrostatics,Theoretical
906,A 50 N tension force is acting on a 0.5 m long wire of a sonometer. If the force is increased to 200 N; the frequency of the said wire will be -,increased by 100%,decreased by 100%,increased by 300%,decreased by 300%,Waves,Mathematical
907,If an object is allowed to fall freely from a height of 30m; at what point will the kinetic energy be double the potential energy?,20m,40m,30m,10m,Work and Energy,Mathematical
908,What is the bulk modulus of water?,2.1x108 N.m-2,2.1x109 N.m-2,2.1x1010 N.m-2,2.1x1011 N.m-2,Properties of Matter,Theoretical
909,What is nitrogen in its normal state?,Gaseous substance,Liquid substance,Solid substance,None of these,Kinetic Theory,Theoretical
910,For which gate is the output 1 if there is an odd number of 1s in the input?,X-NOR,NOT,AND,X-OR,Semiconductor Physics,Definition
911,A person went 4m to the east and then 3m to the north. What is his displacement in meters?,25 m,12 m,5 m,16 m,Vectors,Mathematical
912,If 120J of heat is supplied to a system and 150J of work is done on the system; what will be the change in internal energy?,Will increase by 270J,Will decrease by 30J,Will decrease by 270 J,Will increase by 30 J,Thermodynamics,Mathematical
913,If the refractive indices of water and diamond are 1.33 and 2.4 respectively; what is the speed of light in diamond? [Speed of light in water is 2.28 × 108 ms-1],9.85 x 108 m/s,1.26 x 108 m/s,3 x 108 m/s,4.92 x 108 m/s,Ray Optics,Mathematical
914,Motion is mainly of -,7 types,2 types,5 types,10 types,Kinematics,Theoretical
915,If the angle of dip at a place is δ; what will be the vertical component of the earth's magnetic field at that place?,V=B sin δ,V=B cos δ,V=B tan δ,V=B cot δ,Magnetism,Theoretical
916,The area of the coil of a circular coil galvanometer is A; the number of turns is N; and the strength of the permanent magnetic field is B. If the current in the coil is I; what is the torque on the coil?,(NAB)2 I,NAB/I,N2ABI,NABI,Magnetism,Theoretical
917,If the speed of light in a vacuum is c; which of the following is correct?,`c = sqrt(ε_0μ_0)`,`c = 1/sqrt(ε_0μ_0)`,`c = sqrt(ε_0/μ_0)`,`c = sqrt(μ_0/ε_0)`,Electromagnetic Waves,Theoretical
